dealUniqueId,fromCurrency,toCurrency,dealTimestamp,dealAmount,exchangerate
DEAL-001,USD,EUR,2024-01-15T10:30:00,10000.50,0.81832
DEAL-002,GBP,USD,2024-01-15T11:45:00,25000.75,1.92
DEAL-003,EUR,JPY,2024-01-15T14:20:00,50000.00,0.123392
DEAL-004,USD,CHF,2024-01-16T09:15:00,15000.25,1.29833
DEAL-005,AUD,USD,2024-01-16T16:30:00,8000.99,0.982233
DEAL-006,CAD,EUR,2024-01-17T08:00:00,12000.00,0.239921
DEAL-007,USD,GBP,2024-01-17T13:45:00,30000.50,0.898232
DEAL-008,EUR,USD,2024-01-18T10:10:00,18000.75,0.8298832
DEAL-009,JPY,USD,2024-01-18T15:30:00,5000000.00,0.00029832
DEAL-010,CHF,EUR,2024-01-19T11:20:00,22000.30,0.283892